ORDER,Time,Location,"Type of bomb (Incendiary Bomb= IB Explosive Bomb= EB, COB= Crude Oil Bomb)",Damage or other details (All dimensions at in ft unless stated),lat,lng,geocoder_match,geocoder_source
292,18:06,"Canon Wharf, Evelyn Street, Deptford,SE8, London, UK",IB,stack of timber and 100x100x30 damaged,51.49151600,-0.03912790,"Cannon Wharf, 610 Pell St, London SE8 5EN, UK",Google
293,18:06,"97 Stebondal Street Cubitt Town E14, London, UK",IB,Shop on ground floor and contents severely damaged,51.49718600,-0.00904700,"Cubitt Town, London E14 3JP, UK",Google
294,18:06,"48 Stebondale Street, Cubitt Town E14, London, UK",IB,Front room on first floor and contents severely damaged,51.49013390,-0.00829940,"48 Stebondale St, London E14, UK",Google
295,18:06,"75, Stebondale Street Cubitt Town E14, London, UK",IB,Front room on first floor and contents damaged,51.49044480,-0.00841870,"75 Stebondale St, London E14 3BX, UK",Google
296,18:06,"White Horse Rd, Tower Hamlets, London E1, UK, London, UK",EB & IB,Minor fire damage in this area,51.51455410,-0.04056770,"White Horse Rd, London E1, UK",Google
297,18:07,"Childeric Road, Newcross, SE14, No's 21-61 and 10 40, London, UK",EB,37 Private houses damaged by explosion,51.47681940,-0.03757220,"Childeric Rd, London SE14, UK",Google
298,18:07,"Ruddigore Road, Newcross, SE14, No's 2-16 and 1-9 , London, UK",EB,13 private houses damaged by explosion,51.49414670,-0.16496440,"9, 2 First St, London SW3 2LD, UK",Google
299,18:07,"Ruddigore Road, Newcross, SE14, , London, UK",EB,Fractures gas mains,51.47632220,-0.03229430,"New Cross, New Cross station, Greater, off Amersham Vale, New Cross Rd, London SE14 6LD, UK",Google
300,18:07,"12 St Austell Rd, Lewisham, Greater London SE13 7, London, UK",IB,Garage 20x15 Damaged with fencing,51.46875800,-0.00871100,"St. Austell Road, Blackheath, London SE13 7PL, UK",Google
301,18:07,"Morden Wharf Road, Greenwich SE10, London, UK",EB,"Cement Marketing, range of buildings lost, 300x100 ft damaged. P.678 heavy unit damaged by shrapnel",51.49373720,0.00407710,"Morden Wharf Rd, London SE10, UK",Google
302,18:07,"Tunnel Avenue, Greenwich, SE10, London, UK",EB & IB,Delta Metal Co. Ltd. 80x40 size offices and stores and contents. Roof off. 3 auxiliary firemen injured.,51.49286780,0.00716580,"Tunnel Ave, London SE10, UK",Google
303,18:07,"215 Brockley Road, Forest Hill, SE23, London, UK",IB,2x1 roof damage,51.46042480,-0.03388070,"215 Brockley Rd, London SE4 2SA, UK",Google
304,18:07,"110 Gosterwood Street, Deptford, SE8, London, UK",IB,9x6 roof damaged,51.48394830,-0.03813030,"110 Gosterwood St, London SE8 5NY, UK",Google
305,18:07,"81 Plough Way, Rotherhithe SE16, London, UK",High Explosive Bomb,"St. Barnabas National School & Minetts Saw Mills Ltd. Dining Room, Grocers and 17 private houses all damaged, ",51.49271620,-0.04134670,"81 Plough Way, London SE16 7AE, UK",Google
306,18:07,"4 Ainsworth RD, Hackney, E9, London, UK",IB,"Front rooms on 3rd floor and contents severely damaged. part of roof off, ceilings and contents under by water.",51.53963300,-0.05099460,"4 Ainsworth Rd, London E9 7LP, UK",Google
307,18:07,"Addington Road, Bow E3, London, UK",IB,About 6 x 4ft of roofing slightly damaged.,51.52818300,-0.02347420,"Addington Rd, Bow, London E3, UK",Google
308,18:07,"86, Manchester Road, Cubitt Town E14, London, UK",EB,"Caterer-A building of 3 floors about 40x 20 ft used as refreshment bar, swelling and store, upper part and contents damaged.",51.48745540,-0.01032570,"86 Manchester Rd, London E14 3BD, UK",Google
309,18:07,"9 Merchant Street Bow, E3, London, UK",IB,2x1 roof damage,51.52564780,-0.02658510,"9 Merchant St, London E3, UK",Google
310,18:07,"33 Merchant Street, Bow, E3, London, UK",IB,front room on 1st floor and contents damaged,51.52560840,-0.02652960,"33 Merchant St, London E3, UK",Google
311,18:07,"78 Merchant Street, Bow, E3, London, UK",IB,Back room on 1st floor damaged. 2x1 roof damage,51.52558480,-0.02646870,"78 Merchant St, London E3, UK",Google
312,18:08,"13 Bartram Road, Brockley, SE4, London, UK",IB,Back room on 1st floor and contents damaged,51.45288720,-0.03952860,"13 Bartram Rd, London SE4 2DQ, UK",Google
313,18:08,"11 Bartram Road, Brockley, SE4, London, UK",IB,Back room on 1st floor and contents damaged,51.45288640,-0.03944370,"11 Bartram Rd, London SE4 2DQ, UK",Google
314,18:08,"75 Chilton Grove,Deptford SE8, London, UK",IB,house of 8 rooms damaged,51.49196340,-0.04063970,"75 Chilton Grove, London SE8, UK",Google
315,18:08,"Stepney Green, E1, London, UK",IB,1x1 tarmac damaged,51.51688960,-0.04981820,"Stepney Green, London E1, UK",Google
316,18:08,"Stepney Causeway, Stepney, E1, London, UK",IB,"Training Hostel. 4 floor building, top floors and basement severely damaged.",51.51229870,-0.04509970,"Stepney Causeway, London E1, UK",Google
317,18:08," Latimer Street, Stepney, E1, London, UK",EB & IB,Minor fire damage in this area,51.52222540,-0.04915740,"Stepney, London E1, UK",Google
318,18:09,"293, Tunnel Avenue, Greenwich SE10, London, UK",IB,"Eastwood Wharfage Ltd. 300x100, warehouse and stores damged, most of roof off",51.49874200,0.00123110,"293 Tunnel Ave, London SE10 0QH, UK",Google
319,18:09,"Clemence St, London, UK
Poplar, Greater London E14 7, London, UK",EB,Buidings at these addresses all damaged,51.51605980,-0.03164030,"Clemence St, London E14, UK",Google
320,18:09,"Locksley St, Tower Hamlets, London E14 7EJ, London, UK",EB,Buidings at these addresses all damaged,51.51673920,-0.03100280,"Locksley St, London E14 7EJ, UK",Google
321,18:10,"270 Ardgowan Road, Catford, SE6, 293 Torridon Road Catford SE6, London, UK",EB,Three private houses damaged ,51.43723000,-0.00082560,"270 Ardgowan Rd, London SE6 1XA, UK",Google
322,18:10,"38a Stondon Park, Forest Hill, SE23, London, UK",IB,Front room on 1st floor severely damaged. One female burned on left arm,51.45111710,-0.04004310,"38A Stondon Park, London SE23 1JZ, UK",Google
323,18:10,"Blackhorse Road, Deptford SE8, London, UK",IB,Weyland Tar Co. Quantity of Stock damaged,51.48488160,-0.03714800,"Blackhorse Rd, London SE8, UK",Google
324,18:10,"209a, Mile End Road E1, London, UK",IB,"Mantle and Costume Manufacturers-A building of 2 floors about 80x 30 ft used as workrooms, garage, office ad store. 1/2 of contents severely damaged. Part of roof off. rest of building and contents slightly damaged.",51.52218640,-0.04560060,"209 Mile End Rd, Bethnal Green, London E1 4AA, UK",Google
325,18:10,"15, Harford Street, Stepney E2, London, UK",IB,Boot and shoe Manufacturer- Shop and house of 8 rooms and contents severely damaged.,51.52246320,-0.03952750,"15 Harford St, London E1 4PQ, UK",Google
326,18:10,"35 Grantely Street, Mile End E1, London, UK",IB,A house of 8 rooms and contents severely damaged. Roof off,51.52337280,-0.04360780,"e1, 35 Grantley St, Bethnal Green, London E1 4BN, UK",Google
327,18:10,"Drawn Buildings, Adelina Grove, Stepney E1, London, UK",EB,A building of 5 floors about 100 x 80ft (used as model dwellings) about 1/4 and contents damaged. Rest of building and content slightly damaged.,51.51947430,-0.05437750,"Adelina Grove, London E1, UK",Google
328,18:10,"St Clement's Hostel, Bow Road E3, London, UK",IB,Building of 3 floors about 80x 60ft severely damaged. Roof by breakage,51.52565800,-0.02956750,"St Clements Ave, Bow, London E3, UK",Google
329,18:10,"28, Bow Road, Bow E3, London, UK",IB,Back room on 3rd floor and contents slightly damaged. Roof by breakage,51.52663420,-0.02631090,"28 Bow Rd, Bow, London E3 4LN, UK",Google
330,18:10,"113-149 Stebondale Street. Cubitt Town E14, London, UK",EB,39 houses each of 6 rooms including 4 shops and contents severely damaged,51.49098690,-0.00815300,"113 Stebondale St, London E14, UK",Google
331,18:10,"156-194 Stebondale Street Cubitt Town E14, London, UK",EB,39 houses each of 6 rooms including 4 shops and contents severely damaged,51.49104640,-0.00789180,"156 Stebondale St, London E14, UK",Google
332,18:10,"101-111 Stebondale Street, Cubitt Town E14, London, UK",EB,6 houses each of 6 rooms and contents damaged,51.49098690,-0.00815300,"101 Stebondale St, London E14, UK",Google
333,18:10,"38 Cayley Street, E14, London, UK",IB,Back room on ground floor damaged. ,51.51556770,-0.03819410,"Aston St, London E14 7NG, UK",Google
334,18:10,"Harford Street E1, London, UK",IB,1x1 tarmac damaged,51.52068330,-0.03897870,"Harford St, London E1, UK",Google
335,18:11,"Gibbon Road, Camberwell, SE15, London, UK",EB,20x30 roadway damage,51.46732020,-0.05122950,"Gibbon Rd, London SE15, UK",Google
336,18:11,"733b, Old Kent Road, SE15, London, UK",EB,"Submarine engineer shop, workshops, office and store all damaged. ",51.48107280,-0.05995490,"733 Old Kent Rd, London SE15 1JL, UK",Google
337,18:11,"735-737 Old Kent Road SE15, London, UK",EB,Two shops and two flats,51.48108890,-0.05986830,"735 Old Kent Rd, London SE15 1JL, UK",Google
338,18:11,"Buchan Road, Camberwell, SE15, London, UK",EB,Gas main fractured and about 30x20 of roadway damaged by explosion and fire,51.46563060,-0.05331920,"Buchan Rd, London SE15, UK",Google
339,18:11,"Lewisham high Street SE13, London, UK",EB,Southern Rail. 40x20 brickwork on railway bridge damaged,51.45795000,-0.01312470,"Lewisham High St, London SE13, UK",Google
340,18:11,"Lower Road, Rotherhithe, SE16, London, UK",IB,IB burned out in street. ,51.49469060,-0.05020680,"Lower Rd, London SE16, UK",Google
341,18:11,"A Yard, Millwall Dock E14, London, UK",IB,"A warehouse of 1 floor about 150x 150 feet and contents severely damaged. Basement used as messrooms, dormitories, offices and store, and contents damaged",51.49635150,-0.02427450,"Millwall Dock Rd, London E14, UK",Google
342,18:11,"84a, West Ferry Road, Millwall E14, London, UK",EB and IB,Timber Importers-A range of brick and corrugated iron shed buildings of one floor covering an area of 400x 200ft. About 1/2 of contents severely damaged,51.49857150,-0.02606590,"84 Westferry Rd, London E14 8JE, UK",Google
343,18:12,"Dunoon Road, Forest Hill, SE23, London, UK",EB,Owned by LewishamBC 12x8 Roadway damage,51.44752480,-0.05186560,"Dunoon Rd, London SE23, UK",Google
344,18:12,"Knoyle Street, New Cross, SE14, London, UK",EB,South Met. Gas. Mains Fractured,51.48212800,-0.04105820,"Knoyle St, London SE14, UK",Google
345,18:12,"Mornington Road, Bow E3, London, UK",IB,Incendiary bomb on road,51.52722110,-0.02416550,"Mornington Grove, Bow, London E3, UK",Google
346,18:12,"32, Devas Street, Poplar E14, London, UK",IB,"House of 4 rooms, severely damaged",51.52320240,-0.01448700,"32 Devas St, London E3 3LN, UK",Google
347,18:12,"45-47 Mile End Road, Stepney, E1, London, UK",EB,"Garage. Two floor building severely damaged, roof off.",51.52078530,-0.05313960,"45 Mile End Rd, Bethnal Green, London E1, UK",Google
348,18:12,"Spert St, London, UK
Tower Hamlets, London E14 8EB, London, UK",EB,"Paper Mills. 100x80 two floor building, severely damaged",51.51039640,-0.04052800,"Spert St, London E14 8EB, UK",Google
349,18:13,"13 Bartham Road, Brockley, SE4, London, UK",IB,Back room on 1st floor and contents damaged,51.45288720,-0.03952860,"13 Bartram Rd, London SE4 2DQ, UK",Google
350,18:13,"Bow Road, Bow E3, London, UK",IB,"St. Clement's. Old Nurses's Home, 80x20 two floor building, 3/4 damaged and roof off",51.52751310,-0.02350280,"Bow Rd, Bow, London E3, UK",Google
351,18:13,"62 Ashton Street E14, London, UK",IB,"House of 4 rooms, top floor and contents damaged",51.51089050,-0.00833140,"62 Ashton St, London E14 0EW, UK",Google
352,18:13,"Cottage Street, Poplar, E14, London, UK",IB,Number of IB burned out on road,51.50984360,-0.01472020,"Cottage St, London E14, UK",Google
353,18:13,"Commercial Rd, Poplar, Greater London E1, London, UK",EB,East End Mission Society. Building of one floor and and contents damaged,51.51224390,-0.02953250,"Commercial Rd, London, UK",Google
354,18:14,"51 Lewisham Hill, SE13, London, UK",EB,4 private houses of 20 rooms each and contents damaged.,51.46800750,-0.00921270,"51A Lewisham Hill, Blackheath, London SE13 7PL, UK",Google
355,18:14,"53 Lewisham Hill, SE13, London, UK",EB,4 private houses of 20 rooms each and contents damaged.,51.46806190,-0.00899440,"53 Lewisham Hill, Blackheath, London SE13 7PL, UK",Google
356,18:14,"55 Lewisham Hill, SE13, London, UK",EB,4 private houses of 20 rooms each and contents damaged.,51.46824790,-0.00901350,"55B Lewisham Hill, Blackheath, London SE13 7PL, UK",Google
357,18:14,"57 Lewisham Hill, SE13, London, UK",EB,4 private houses of 20 rooms each and contents damaged.,51.46849600,-0.00901250,"57 Lewisham Hill, Blackheath, London SE13 7PL, UK",Google
358,18:14,"Carlton Works, Glengall Grove, Millwall, E14, London, UK",IB & EB,"Walter Voss and Co Manufacturing Chemists. 200x200 used as laboratories, store and contents severely damaged",51.49565560,-0.01240220,"Glengall Grove, London E14, UK",Google
359,18:14,"Carlton Works, Glengall Grove, Millwall, E14, London, UK",IB & EB,"Speedy Metal Castings Ltd. 200x60  Machine Room, workshop and contents damaged",51.49565560,-0.01240220,"Glengall Grove, London E14, UK",Google
360,18:15,"309, New Cross Road, New Cross SE14, London, UK",IB,2x1 roof damage,51.47571390,-0.03776360,"309 New Cross Rd, London SE14 6AS, UK",Google
361,18:15,"Woolwich Road, Charlton, SE10, London, UK",IB,"G & H Harveys, Engineers, 3x2 roof damage in spinning room",51.48612160,0.01318970,"Woolwich Rd, London SE10, UK",Google
362,18:15,"72, Codrington Hill, Forest Hill, SE23, London, UK",IB,house of 5 rooms damaged. Roof blown off,51.44858070,-0.03565690,"72 Codrington Hill, London SE23 1ND, UK",Google
363,18:15,"5 Stondon Park, Forest Hill, SE23, London, UK",IB,"3x1 wooden fencing damaged,",51.45158960,-0.03931590,"5 Stondon Park, London SE23 1LB, UK",Google
364,18:15,"24 Codrington Hill, Forest Hill, SE23, London, UK",IB,Front room on 1st floor severely damaged,51.44786560,-0.03903640,"24 Codrington Hill, London SE23 1LW, UK",Google
365,18:15,"14, Glaskin Mews E9, London, UK",IB,Front room on second floor and contents slightly damaged. 2 x 4 ft of roof by breakage,51.54128800,-0.04111140,"London E9, UK",Google
366,18:15,"Methodist Church, Stebondale Street, Cubitt Town E14. 151-163 Stebondale Street Cubitt Town E14. 100-124 Stebondale Street Cubitt Town E14, London, UK",EB,"Church and 20 private houses each of 6 rooms, including three shops and contents severely damaged",51.49098690,-0.00815300,"151 Stebondale St, London E14, UK",Google
367,18:15,"North Side, Import Dock, West India Docks E14, London, UK",IB,"""C"" shed- about 60x60 ft or roof damaged",51.50252346,-0.01832474,"South Dock, London E14, UK",Google
368,18:15:00,"Lying at North Side Import Dock, West India Docks E14, London, UK",IB,"Part of London Authority-A vessel of 3,000 tons gross, laden with general cargo, poop and contents damaged",51.50252346,-0.01832474,"South Dock, London E14, UK",Google
369,18:15,"Masters Street E1, London, UK",IB,1x1 tarmac damaged,51.51931250,-0.04092390,"Master's St, London E1, UK",Google
370,18:15,"Tidey Street E14, London, UK",IB,1x1 tarmac damaged,51.51963970,-0.02194710,"Tidey St, London E3, UK",Google
371,18:15,"St Paul's Way, E3, London, UK",IB,1x1 tarmac damaged,51.51718700,-0.02973850,"St Paul's Way, London, UK",Google
372,18:15,"Raine Street, Tower Hamlets, London E1W, London, UK",EB,Minor fire damage in this area,51.50640190,-0.05775070,"Raine St, London E1W, UK",Google
373,18:16,"272 New Cross Road, SE15, London, UK",IB,2x2 roof damage,51.47491230,-0.03966290,"272 New Cross Rd, London SE14 6AA, UK",Google
374,18:16,"Aston Street E14, London, UK",IB,1x1 feet of tarmac damaged,51.51085740,-0.00865930,"Ashton St, London E14, UK",Google
375,18:16:00,"West Ferry Road, Millwall E14, London, UK",eb,"About 30x30 feet of paving damaged and 4"" gas main fractured by explosion in yard",51.49830220,-0.02589880,"Westferry Rd, London E14, UK",Google
376,18:17,"Stockholme Street, Rotherhithe, SE16, London, UK",Crude oil bomb,COB burnt out in enlosed ground,51.48508050,-0.05154280,"Stockholm Rd, London SE16, UK",Google
377,18:17,"Samudas Wharf, Manchester Road, Cubitt Town, E14, London, UK",EB and IB,"Transport Contractors -A range of buildings of 2 floors covering an area about 800x300f (used as machine rooms, workshops, offices and store) and contents and some stock in yard including a number of motor lorries severely damaged.",51.49816870,-0.00883520,"Manchester Rd, London E14 3ZT, UK",Google
378,18:17,"Samudas Wharf, Manchester Road, Cubitt Town, E14, London, UK",EB and IB,"Engineers-A range of buildings of 2 floors covering an area about 800x300f (used as machine rooms, workshops, offices and store) and contents and some stock in yard including a number of motor lorries severely damaged.",51.49816870,-0.00883520,"Manchester Rd, London E14 3ZT, UK",Google
379,18:17,"Samudas Wharf, Manchester Road, Cubitt Town, E14, London, UK",EB and IB,"Stone Merchants-A range of buildings of 2 floors covering an area about 800x300f (used as machine rooms, workshops, offices and store) and contents and some stock in yard including a number of motor lorries severely damaged.",51.49816870,-0.00883520,"Manchester Rd, London E14 3ZT, UK",Google
380,18:17,"Leven Street, Poplar, E14, London, UK",IB,Mills Cartwright and Reynolds. One floor back building 80x60 used a stockroom damaged,51.51541950,-0.00504140,"Leven Rd, Aberfeldy Village, London E14, UK",Google
381,18:17,"St. Leonard's Wharf, Brunswick Road, Poplar E14, London, UK",IB,10x6 deck planking damaged by fire and a dissused corrugated iron  and timber shed slightly damaged. 100x60 oil store contents slightly damaged,51.51230740,-0.00766770,"Brunswick Rd, London E14, UK",Google
382,18:17,"Narrow Street, Limehouse, E14, London, UK",IB,"New Sun Wharf. Three floor building, 80x60 used as store. Severely damaged.",51.50987110,-0.03825320,"Narrow St, London E14, UK",Google
383,18:18,"45 Yatton street, Poplar, E14, London, UK",IB,Front room on 1st floor and contents damaged,51.50975020,-0.01759500,"London E14, UK",Google
384,18:18,"Commercial Rd, Poplar, Greater London E1, London, UK",EB,Minor fire damage in this area,51.51224390,-0.02953250,"Commercial Rd, London, UK",Google
385,18:19,"583, Commercial Road, Stepney E1, London, UK",IB,"Methodist East End Mission. Building of 1 floor, balcony and basement about 100x 60ft, used as club rooms, billiard rooms, storeroom and lecture room. About 2/3 of content damaged.",51.51326510,-0.04293240,"583 Commercial Rd, Ratcliff, London E1 0HJ, UK",Google
386,18:19,"South Side Coal Wharf, Mile End Road E3, London, UK",IB,London and North Eastern railway. Railway truck and contents damaged,51.52566650,-0.03211040,"Mile End Rd, London E3, UK",Google
387,18:19,"Selsey Street E14, London, UK",IB,1x1 feet of paving damaged,51.51714260,-0.02433520,"Selsey St, London E14, UK",Google
388,18:19,"333/339, Mile End Road E1, London, UK",COB,C.W.S tailoring department-2 upper floors and contents damaged. 2x2 ft of roof breakage,51.52401130,-0.03837600,"333, 339 Mile End Rd, Bethnal Green, London E1 4NS, UK",Google
389,18:19,"Mile End Road, E, London, UK",IB,Portuguese Jewish Cemetry 40 x 20 ft of grass burned,51.52250740,-0.04184500,"Mile End Rd, London, UK",Google
390,18:19,"Advance House, Talwin Street, Bromley E3, London, UK",IB,A building of 2 floors about 60 x 30 feet. First floor and contents slightly damaged.,51.52539550,-0.01370360,"Talwin St, London E3, UK",Google
391,18:19,"94 St.Leonard's Road, Poplar, E14, London, UK",IB,"Front room on 1st floor and contents damaged, roof part off",51.51422690,-0.00937560,"94 St. Leonards Rd, London E14 0QU, UK",Google
392,18:19,"Tooke Street, Millwall E14, London, UK",EB,30x 30 roadway damaged. 11 Private houses  and one shop damaged,51.49810020,-0.02554400,"165 Westferry Rd, London E14 8NH, UK",Google
393,18:19,"11 Tooke Street, Millwall E14, London, UK",EB,30x 30 roadway damaged. 11 Private houses  and one shop damaged,51.49810020,-0.02554400,"165 Westferry Rd, London E14 8NH, UK",Google
394,18:20,"St Leonards Road, Poplar, E14, London, UK",IB,A number of IB bombs burned out on road,51.51543860,-0.01106820,"St. Leonards Rd, London E14, UK",Google
395,18:20,"Import Dock, East India Docks, Poplar E14, London, UK",IB,Part of London Authority- A builing of 2 floors about 100 x 50 ft and contents including hydraulic crane and electric meter cupboard severely damaged. Building used as a hydraulic pressure house slightly damaged. Doors and window glass by breakage. Building of one floor 40 x 30ft about 4/5 severely damaged. Most part of roof damaged.,51.50252346,-0.01832474,"South Dock, London E14, UK",Google
396,18:21,"St Leonard's Road, Poplar E14, London, UK",IB,"Joinery and moulding manufacturer- A building of one floor about 80 x 40ft used as moulding manufacturers and contents slightly damaged. Window glass by breakage, part of roof off. A building of 2 floors about 30 x 20 ft and contents severely damaged.",51.51543860,-0.01106820,"St. Leonards Rd, London E14, UK",Google
397,18:21,"Eastern Dock, 10 Warehouse, London Dock, E1, London, UK",EB,"Port of London Authority. Range of buildings all 1-6 floors, used as warehouse and stores.",51.51160920,-0.02754700,"10 E India Dock Rd, London E14 6JJ, UK",Google
398,18:22,"St. James' Church, St. James'  Road, Newcross, SE14, London, UK",IB,3x2 rood damage,51.47371200,-0.03823800,"Hatcham Church Hall, St James's, London SE14 6AD, UK",Google
399,18:23,"Commercial Road, Stepney  E1, London, UK",EB,Minor fire damage in this area,51.51437380,-0.05593020,"Commercial Rd, London E1, UK",Google
400,18:24,"122 Lewisham High Street, Lewisham SE13, London, UK",-,4x2 roof damage and 2x2 flooring damage,51.46197130,-0.01116030,"122 Lewisham High St, London SE13 6JG, UK",Google
401,18:24,"Dundee Wharf, Limehouse, E14, London, UK",EB,Company name:Wharfage- A building of two floors about 200 x 100ft severely damaged. 9 motor vehicles damaged,51.50806550,-0.02997320,"Dundee Wharf, London E14, UK",Google
402,18:24,"566, Cable Street , Stepney E1, London, UK",EB,"Confectionery and Fancy goods- Range of buildings of one, two and three floors. ( nused as workrooms, showrooms, offices and stores) about 2?3 severely damaged.",51.51148770,-0.04271040,"Thames House, 566 Cable St, London E1W 3HB, UK",Google
403,18:24,"24, Maria Street, Millwall E14, London, UK",EB,"8 Houses, 6 rooms each, severely damaged",51.49890920,-0.02455190,"Millwall, London E14, UK",Google
404,18:24,"52 Malabar Street, Millwall, E14, London, UK",EB,Remaining houses are also damaged,51.49858920,-0.02401580,"52 Malabar St, London E14, UK",Google
405,18:25,"733, Old Kent Road, SE15, London, UK",EB,Shop and house of 6 rooms  damaged,51.48107280,-0.05995490,"733 Old Kent Rd, London SE15 1JL, UK",Google
406,18:25,"Morant St, London, UK
Poplar, Greater London E14, London, UK",EB,Poplar Borough Council- 20 x 10ft of roadway and paving damaged. Many houses in this thoroughfare damaged,51.51013990,-0.02197690,"Morant St, London E14, UK",Google
407,18:25,"Harford Street, Stepney, E1, London, UK",IB,"A building of 2 floors about 60 x 40 feet( used as licensed premises, dwelling and store). Top floor and contents severely damaged by fire and part of roof off.",51.52068330,-0.03897870,"Harford St, London E1, UK",Google
408,18:26,"13 Laurie Grove, Deptford, SE14, London, UK",IB,3x2 roof damage,51.47478500,-0.03710050,"13 Laurie Grove, London SE14 6NH, UK",Google
409,18:27,"Town Hall, Newcross, SE14, London, UK",IB,2x2 roof damage,51.47632220,-0.03229430,"New Cross, New Cross station, Greater, off Amersham Vale, New Cross Rd, London SE14 6LD, UK",Google
410,18:27,"Vesta Road, Newcross, SE14, London, UK",IB,40x20 on one floor as building used as library damaged,51.46876650,-0.03771430,"Vesta Rd, London SE14, UK",Google
411,18:27,"131 Pepy's Road, Newcross, SE14, London, UK",IB,3x2 roof damage,51.46902060,-0.04464720,"131 Pepys Rd, London SE14 5SE, UK",Google
412,18:27,"129 Pepy's Road, Newcross, SE14, London, UK",IB,3x2 roof damage,51.46893030,-0.04384560,"129 Pepys Rd, London SE14 5SE, UK",Google
413,18:27,"123 Pepy's Road, Newcross, SE14, London, UK",IB,2x1 roof damage,51.46916710,-0.04412190,"123B Pepys Rd, London SE14 5SE, UK",Google
414,18:27,"97 Pepy's Road, Newcross, SE14, London, UK",IB,1x1 roof damage,51.47006170,-0.04407980,"97A Pepys Rd, London SE14 5SE, UK",Google
415,18:27,"23 Pepy's Road, Newcross, SE14, London, UK",IB,3x2 roof damage,51.47290730,-0.04512920,"23 Pepys Rd, London SE14 5SA, UK",Google
416,18:27,"91 Pepy's Road, Newcross, SE14, London, UK",IB,3x2 roof damage,51.47026310,-0.04424520,"91 Pepys Rd, London SE14 5SE, UK",Google
417,18:27,"53 Stewart Road, Nunhead, SE15, London, UK",-,IB unginited,51.45850880,-0.05203940,"53 Stuart Rd, London SE15 3BE, UK",Google
418,18:27,"poplar Docks, Preston Road, Poplar, E14, London, UK",EB,60x60 railway track damaged.15 acre 4 floor builing including vehicles in yard and machinery all damaged.,51.50634350,-0.00794770,"Boardwalk Pl, London E14 5SH, UK",Google
419,18:28,"21 Pepy's Road, Newcross, SE14, London, UK",IB,2x1 roof damage,51.47302250,-0.04506360,"21 Pepys Rd, London SE14 5SA, UK",Google
420,18:28,"29 Pepy's Road, Newcross, SE14, London, UK",IB,"House of eight rooms, back room on groung floor and contents damaged by fire",51.47270870,-0.04503530,"29 Pepys Rd, London SE14 5SA, UK",Google
421,18:28,"Newcross Gate, Newcross, SE14, London, UK",IB,"London Passenger Transport board, building of on e floor about 300 x100 used as tramcar shed and 6x4 of roof and two tramcars slightly damaged by fire. ",51.47503680,-0.04034210,"New Cross Gate, New Cross Rd, London SE14 6AR, UK",Google
422,18:28,"104 Skidmore street. Stepney, E1, London, UK",IB,House of 5 rooms about 1/2 and contents severely damaged. Part of roof off. rest of house and contents slightly damaged.,51.52222540,-0.04915740,"Stepney, London E1, UK",Google
423,18:29,"Deptford Church Street, SE8, London, UK",IB,IB burned out in street. ,51.47783320,-0.02277760,"Deptford Church St, London SE8, UK",Google
424,18:29,"Coutts Rd E.3, London, UK",IB,1 x 1ft of tarmac damaged in street,51.50721780,-0.12758620,"London, UK",Google
425,18:29,"North Quay, West, India Docks, E14, London, UK",EB & IB,Range of warehouses covering 2000x120 severely damaged,51.50252346,-0.01832474,"South Dock, London E14, UK",Google
426,18:30,"141 Jeringham Road, Newcross SE14, London, UK",Ib,2x2 roof damage,51.46992410,-0.04164910,"141 Jerningham Rd, London SE14 5NJ, UK",Google
427,18:30,"150 Jeringham Road, Newcross SE14, London, UK",IB,3x2 roof damage,51.46891920,-0.04336290,"150A Jerningham Rd, London SE14 5NL, UK",Google
428,18:30,"165 Jeringham Road, Newcross SE14, London, UK",IB,3x2 roof damage,51.46869620,-0.04290390,"165 Jerningham Rd, London SE14 5NJ, UK",Google
429,18:30,"Newcross Road, Opposite tram depot, Newcross SE14, London, UK",IB,6x6 roof damage,51.47574630,-0.03535750,"New Cross Rd, London SE14, UK",Google
430,18:30,"146 Jeringham Road Newcross, SE14, London, UK",IB,3x2 roof damage,51.46907360,-0.04323600,"146 Jerningham Rd, London SE14 5NL, UK",Google
431,18:30,"24 Lewisham Way, Lewisham SE, London, UK",IB,"house of 14 rooms, most of roof and top floor damaged",51.46874080,-0.02772390,"24 Lloyd Villas, Lewisham Way, London SE4 1US, UK",Google
432,18:30,"123 St. Asaph's Rpad, Brokeley, SE4, London, UK",IB,"IB unginited, 2x2 roof damage",51.46461220,-0.04287610,"123 St Asaph Rd, London SE4 2DZ, UK",Google
433,18:30,"87 Foxberry Road, Brockley, SE4, London, UK",IB,Middle room damaged,51.46154540,-0.03612260,"87 Foxberry Rd, London SE4 2SS, UK",Google
434,18:30,"8 Sevenoaks Road Crofton Park, SE4, London, UK",IB,Front room on 1st floor severely damaged,51.45266210,-0.03781250,"8 Sevenoaks Rd, London SE4 1RB, UK",Google
435,18:30,"2-8 Odessa Street, Rotherhithe Street Se16, London, UK",IB,"   Timber Yard, Granary, Offices and Lighterman all slightly damaged",51.49846550,-0.03420840,"2 Odessa St, London SE16 5UH, UK",Google
436,18:30,"South Wharf River, Ambulance Service, Rotherhithe Street, SE16, London, UK",IB,"Range of buildings between 1-3 floors, 400x400, contents and roof severely damaged",51.50439330,-0.04576960,"Rotherhithe St, London SE16, UK",Google
